address,borough,unitsres
104-59 38 AVENUE,QN,8
104-63 38 AVENUE,QN,8
104-54 38 AVENUE,QN,4
1212 GILBERT PLACE,BX,8
1210 GILBERT PLACE,BX,8
41-05 DENMAN STREET,QN,4
37-12 98 STREET,QN,7
37-35 98 STREET,QN,4
102-11 37 AVENUE,QN,6
37-31 103 STREET,QN,4
35-07 105 STREET,QN,4
35-09 105 STREET,QN,4
35-16 103 STREET,QN,3
1190 44 STREET,BK,4
1228 44 STREET,BK,4
1188 44 STREET,BK,4
1230 44 STREET,BK,4
104-53 42 AVENUE,QN,8
1169 41 STREET,BK,3
1165 41 STREET,BK,3
1167 41 STREET,BK,3
104-37 37 ROAD,QN,4
104-27 37 ROAD,QN,4
104-29 37 ROAD,QN,4
104-35 37 ROAD,QN,4
104-33 37 ROAD,QN,4
37-32 107 STREET,QN,9
104-31 37 ROAD,QN,4
38-16 108TH STREET,QN,6
104-46 39 AVENUE,QN,3
104-65 ROOSEVELT AVENUE,QN,9
104-61 39 AVENUE,QN,4
104-42 37 DRIVE,QN,3
104-40 37 DRIVE,QN,3
104-27 38 AVENUE,QN,8
101-09 39 AVENUE,QN,7
101-07 39 AVENUE,QN,7
101-05 39 AVENUE,QN,8
446 ST MARKS AVENUE,BK,8
545 ST MARKS AVENUE,BK,8
655 FRANKLIN AVENUE,BK,8
496498 PROSPECT PLACE,BK,6
95-24 42 AVENUE,QN,5
108-08 34 AVENUE,QN,3
37-44 108 STREET,QN,4
104-48 38 AVENUE,QN,4
37-50 108 STREET,QN,4
108-20 38 AVENUE,QN,8
38-14 108 STREET,QN,5
104-61 38 AVENUE,QN,8
104-54 ROOSEVELT AVENUE,QN,5
1444 BEDFORD AVENUE,BK,8
1446 BEDFORD AVENUE,BK,8
23 VERONA PLACE,BK,7
41 LEXINGTON AVENUE,BK,3
268 GREENE AVENUE,BK,3
266 GREENE AVENUE,BK,3
65 IRVING PLACE,BK,5
912 BERGEN STREET,BK,12
38-19 99 STREET,QN,7
689 FRANKLIN AVENUE,BK,8
681 FRANKLIN AVENUE,BK,8
71 LEXINGTON AVENUE,BK,5
887 BERGEN STREET,BK,9
33-37 JUNCTION BOULEVARD,QN,8
33-57 JUNCTION BOULEVARD,QN,3
108-28 37 DRIVE,QN,8
108-30 37 DRIVE,QN,8
92 LEFFERTS PLACE,BK,4
94 LEFFERTS PLACE,BK,4
96 LEFFERTS PLACE,BK,4
75 HERKIMER STREET,BK,4
 HERKIMER STREET,BK,6
39-12 104TH STREET,QN,7
42-06 ELBERTSON STREET,QN,3
90-01 WHITNEY AVENUE,QN,3
90-03 WHITNEY AVENUE,QN,3
47-23 99 STREET,QN,3
98-41 CORONA AVENUE,QN,3
101-34 NICOLLS AVENUNE,QN,3
100-12 NORTHERN BOULEVARD,QN,8
484 GATES AVENUE,BK,10
101-18 43 AVENUE,QN,4
32-33 JUNCTION BOULEVARD,QN,6
32-33A JUNCTION BOULEVARD,QN,6
1202 FULTON STREET,BK,6
