address,borough,unitsres
306 WEST 148 STREET,MN,6
213 EAST 15 STREET,MN,4
1456 GREENE AVENUE,BK,6
394 HARMAN STREET,BK,7
382 EAST 159 STREET,BX,12
370 EAST 158 STREET,BX,12
26 AVENUE B,MN,5
169 WEST 161 STREET,BX,4
167 WEST 161 STREET,BX,4
251 SCHENCK AVENUE,BK,3
1845 PITKIN AVENUE,BK,8
1847 PITKIN AVENUE,BK,8
14 HAVENS PLACE,BK,7
80-30 CORNISH AVENUE,QN,3
84-38 GRAND AVENUE,QN,3
525 MAPLE STREET,BK,8
521 MAPLE STREET,BK,8
476 MAPLE STREET,BK,9
518 MAPLE STREET,BK,4
504 MAPLE STREET,BK,4
4152 CARPENTER AVENUE,BX,10
1553 GLEBE AVENUE,BX,8
1323 PURDY STREET,BX,8
574 SCHENECTADY AVENUE,BK,5
91 EAST 46 STREET,BK,8
93 EAST 46 STREET,BK,8
516 MIDWOOD STREET,BK,3
558 KINGSTON AVENUE,BK,4
502 MIDWOOD STREET,BK,4
558A KINGSTON AVENUE,BK,4
1646 PARKER STREET,BX,4
1321 PURDY STREET,BX,8
1644 PARKER STREET,BX,4
1183 NEW YORK AVENUE,BK,9
 LENOX ROAD,BK,9
45-13 78 STREET,QN,3
1527 NEW YORK AVENUE,BK,8
1517 NEW YORK AVENUE,BK,8
1519 NEW YORK AVENUE,BK,8
1509 NEW YORK AVENUE,BK,8
1525 NEW YORK AVENUE,BK,8
1507 NEW YORK AVENUE,BK,8
2502 NEWKIRK AVENUE LLC,BK,8
131A STANHOPE STREET,BK,3
83 STANHOPE STREET,BK,8
48-14 58 LANE,QN,3
48-16 58 LANE,QN,3
1249 DEKALB AVE,BK,6
254 PALMETTO STREET,BK,8
1277 PUTNAM AVENUE,BK,8
26 GOODWIN PLACE,BK,7
466 OCEAN PARKWAY,BK,3
698A DEKALB AVENUE,BK,3
13 MELROSE STREET,BK,8
47 CEDAR STREET,BK,3
45 CEDAR STREET,BK,8
24 CEDAR STREET,BK,8
1610 NEW YORK AVENUE,BK,8
271 CLIFTON PLACE,BK,7
903 DEKALB AVENUE,BK,10
226 HART ST,BK,8
3508 FARRAGUT ROAD,BK,8
27 ELDERT STREET,BK,8
23 ELDERT STREET,BK,8
1296 NEW YORK AVE,BK,9
50 LEWIS AVENUE,BK,9
48 LEWIS AVENUE,BK,9
322 EAST 32 STREET,BK,6
56 VERNON AVENUE,BK,4
27 WOODBINE STREET,BK,8
25 WOODBINE STREET,BK,8
272 THROOP AVENUE,BK,8
143 WOODBINE STREET,BK,8
177 PALMETTO STREET,BK,8
768 MACON STREET,BK,5
543 KOSCIUSZKO STREET,BK,8
676 HALSEY STREET,BK,7
76 HART STREET,BK,6
1502 NEW YORK AVENUE,BK,9
1504 NEW YORK AVENUE,BK,9
675 EAST 32ND STREET,BK,7
1522 NEW YORK AVENUE,BK,9
1556 NEW YORK AVE,BK,9
EAST 32ND STREET,BK,7
1524 NEW YORK AVENUE,BK,9
671 LIBERTY AVENUE,BK,10
419 GATES AVENUE,BK,8
234 QUINCY STREET,BK,6
705 LAFAYETTE AVENUE,BK,8
725 LAFAYETTE AVENUE,BK,7
18 VAN BUREN STREET,BK,7
 NEW YORK AVENUE,BK,8
1595 NEW YORK AVE,BK,9
1605 NEW YORK AVENUE,BK,8
1597 NEW YORK AVE,BK,9
1643 NEW YORK AVENUE,BK,8
1645 NEW YORK AVENUE,BK,8
718 BUSHWICK AVENUE,BK,8
752 QUINCY STREET,BK,8
51 TROUTMAN STREET,BK,8
669 BUSHWICK AVENUE,BK,8
674 HANCOCK STREET,BK,8
596 EAST 32 STREET,BK,8
586 EAST 32 STREET,BK,7
64 PULASKI STREET,BK,3
653 DEKALB AVENUE,BK,6
655 DEKALB AVENUE,BK,6
641 DEKALB AVENUE,BK,5
524 NEW JERSEY AVENUE,BK,6
1541 NEW YORK AVENUE,BK,11
52-06 ROOSEVELT AVENUE,QN,5
141 HART STREET,BK,3
103 GROVE STREET,BK,8
108 JEFFERSON AVENUE,BK,3
110 JEFFERSON AVENUE,BK,3
212 MALCOLM X BOULEVARD,BK,10
48 BLEECKER STREET,BK,8
165 MALCOLM X BOULEVARD,BK,10
462 EAST 29 STREET,BK,5
413 THROOP AVENUE,BK,8
2506 NEWKIRK AVENUE LLC,BK,8
554 GATES AVENUE,BK,10
20-58 STEINWAY STREET,QN,3
490 VAN BUREN STREET,BK,8
20-48 STEINWAY STREET,QN,6
 WOODBINE STREET,BK,8
54 HIMROD STREET,BK,6
336 EAST 28 STREET,BK,7
87-15 52 AVENUE,QN,3
87-19 52 AVENUE,QN,3
87-13 52 AVENUE,QN,3
87-17 52 AVENUE,QN,3
87-11 52 AVENUE,QN,3
51-24 VAN LOON STREET,QN,3
84-09 QUEENS BOULEVARD,QN,16
52-17 VAN LOON STREET,QN,3
90-48 53 AVENUE,QN,3
84-11 QUEENS BOULEVARD,QN,4
87-07 JUSTICE AVENUE,QN,6
84-06 QUEENS BOULEVARD,QN,3
52-09 VAN LOON STREET,QN,3
86-09 51 AVENUE,QN,3
86-07 51 AVENUE,QN,3
85-27 BROADWAY,QN,3
86-05 51 AVENUE,QN,3
85-29 BROADWAY,QN,3
468 PULASKI STREET,BK,8
90-29 55 AVENUE,QN,3
90-27 55 AVENUE,QN,3
53-18 90 STREET,QN,7
53-16 90 STREET,QN,3
87-09 JUSTICE AVENUE,QN,5
90-15 56 AVENUE,QN,6
57-30 HOFFMAN DRIVE,QN,4
231 EAST 123 STREET,MN,11
88-37 53 AVENUE,QN,7
85-11 57 AVENUE,QN,3
96-11 50 AVENUE,QN,4
96-05 50 AVENUE,QN,3
47-09 JUNCTION BOULEVARD,QN,3
582 EAST 138TH STREET,BX,6
47-22 JUNCTION BOULEVARD,QN,4
499 PENNSYLVANIA AVENUE,BK,9
50-24 96 STREET,QN,8
55 BRUCKNER BOULEVARD,BX,3
366 EAST 155 STREET,BX,8
538 EAST 142 STREET,BX,8
145 WEST 123 STREET,MN,12
2057 STRAUSS STREET,BK,9
802 HOWARD AVENUE,BK,10
37 BRIGHTON 2 PLACE,BK,6
516 EAST 147 STREET,BX,7
26 WEST 127TH STREET,MN,12
460 SENECA AVENUE,QN,7
1738 HARMAN STREET,QN,7
408 EAST 153RD STREET,BX,10
406 EAST 153RD STREET,BX,10
63 EAST 119 STREET,MN,3
56 EAST 119 STREET,MN,3
66 EAST 119 STREET,MN,3
55 EAST 118 STREET,MN,3
68 EAST 119 STREET,MN,3
67 BRIGHTON 1 LANE,BK,6
308 EAST 134 STREET,BX,8
139 ALEXANDER AVENUE,BX,7
607 ONDERDONK AVENUE,QN,4
289 KOSCIUSZKO STREET,BK,4
47-17 72 STREET,QN,3
47-15 72 STREET,QN,3
1935 GATES AVENUE,QN,8
123 WEST 131 STREET,MN,8
144 WEST 133 STREET,MN,3
186 WEST 134 STREET,MN,3
18 WEST 129 STREET,MN,12
28A WEST 128 STREET,MN,3
34 WEST 128 STREET,MN,3
30 WEST 128 STREET,MN,3
59 WEST 128 STREET,MN,8
181 TROUTMAN STREET,BK,8
328 EAST 148 STREET,BX,4
330 EAST 148 STREET,BX,4
332 EAST 148 STREET,BX,4
430 EAST 158 STREET,BX,10
418 EAST 153 STREET,BX,8
176 KNICKERBOCKER AVENUE,BK,8
135-10 COOLIDGE AVENUE,QN,10
447 DECATUR STREET,BK,6
92-14 175 STREET,QN,4
92-16 175 STREET,QN,4
92-08 175 STREET,QN,4
92-10 175 STREET,QN,4
92-12 175 STREET,QN,4
1200 DECATUR STREET,BK,8
23 FAYETTE STREET,BK,4
25 FAYETTE STREET,BK,4
89 MONTROSE AVENUE,BK,8
159 MANHATTAN AVENUE,BK,6
103 MESEROLE STREET,BK,8
135 JOHNSON AVENUE,BK,3
205 MAC DOUGAL STREET,BK,8
220 MAC DOUGAL STREET,BK,4
136-45 41 AVENUE,QN,7
112-20 38 AVENUE,QN,8
898 BUSHWICK AVENUE,BK,8
1117 LAFAYETTE AVENUE,BK,9
1207 BROADWAY,BK,7
133-05 41 AVENUE,QN,7
133-04 41 AVENUE,QN,4
132-45 41 AVENUE,QN,4
132-55 41 AVENUE,QN,7
135-28 40 ROAD,QN,3
133-03 41 AVENUE,QN,7
133-08 41 AVENUE,QN,5
133-07 41 AVENUE,QN,7
132-47 41 AVENUE,QN,4
41-09 HAIGHT STREET,QN,4
42-05 COLLEGE POINT BLVD,QN,4
132-27 41 AVENUE,QN,6
142-05 CHERRY AVENUE,QN,8
142-01 CHERRY AVENUE,QN,8
144-15 BARCLAY AVENUE,QN,8
144-11 BARCLAY AVENUE,QN,8
134-42 BLOSSOM AVENUE,QN,8
134-28 BLOSSOM AVENUE,QN,8
846 MONROE STREET,BK,8
1115 DECATURE STREET,BK,8
1111 DECATURE STREET,BK,8
158 EAST 100 STREET,MN,12
144-45 37 AVENUE,QN,8
112-19 39 AVENUE,QN,8
249 EVERGREEN AVENUE,BK,6
314 EVERGREEN AVENUE,BK,8
131 STANHOPE STREET,BK,3
132A STANHOPE STREET,BK,8
 MYRTLE AVENUE,BK,5
1776 BROADWAY,BK,7
101 GROVE STREET,BK,8
67 GROVE STREET,BK,4
424 EVERGREEN AVENUE,BK,3
66 SOMERS STREET,BK,8
68 SOMERS STREET,BK,8
41-23 HAIGHT STREET,QN,4
41-21 HAIGHT STREET,QN,4
132-08 SANFORD AVENUE,QN,4
142-03 CHERRY AVENUE,QN,8
21-24 45TH ROAD,QN,6
81 MCGUINNESS BOULEVARD,BK,8
1470 KNAPP STREET,BX,7
1405 HERKIMER STREET,BK,9
2329 DEAN STREET,BK,3
2266 PACIFIC STREET,BK,9
 PACIFIC STREET,BK,9
811 5 AVENUE,BK,10
5-28 47TH AVE,QN,6
91 CLAY ST,BK,8
137 DUPONT STREET,BK,8
17 DIAMOND STREET,BK,7
165 NASSAU AVENUE,BK,6
21-22 45TH ROAD,QN,6
123 MESEROLE AVENUE,BK,4
45-48 47 STREET,QN,10
723 ARNOE AVENUE,BX,10
761 43 STREET,BK,4
42-08 ELBERTSON STREET,QN,3
41-103 FORLEY STREET,QN,3
101-06 MARTENSE AVENUE,QN,4
41-32 75 STREET,QN,4
74-08 WOODSIDE AVENUE,QN,3
96-43 CORONA AVE,QN,3
37 NORTH OXFORD STREET,BK,3
2939 BRIGHTON 8 STREET,BK,6
67-43 73 PLACE,QN,3
158 SKILLMAN STREET,BK,8
145 SKILLMAN STREET,BK,4
175 FRANKLIN AVENUE,BK,4
978 KENT AVENUE,BK,11
94 RYERSON STREET,BK,6
108-07 44TH AVENUE,QN,7
43-15 108 STREET,QN,4
45-03 JUNCTION BOULEVARD,QN,3
47-12 JUNCTION BOULEVARD,QN,4
47-18 JUNCTION BOULEVARD,QN,4
47-16 JUNCTION BOULEVARD,QN,4
47-14 JUNCTION BOULEVARD,QN,4
94-69 46 AVENUE,QN,3
104-27 ALSTYNE AVENUE,QN,3
104-25 ALSTYNE AVENUE,QN,3
104-34 CORONA AVENUE,QN,5
108-45 51ST AVENUE,QN,3
108-73 111 STREET,QN,4
85-23 57 AVENUE,QN,3
102-28 CORONA AVENUE,QN,6
102-18 CORONA AVENUE,QN,8
52-11 102 STREET,QN,7
52-12 102 STREET,QN,7
102-14 RADCLIFF AVENUE,QN,7
103-20 CORONA AVENUE,QN,3
102-26 CORONA AVENUE,QN,6
42-36 FORLEY STREET,QN,3
721 SNEDIKER AVENUE,BK,6
722 HINSDALE STREET,BK,8
719 SNEDIKER AVENUE,BK,6
312 23 STREET,BK,7
1216 49 STREET,BK,3
1221 50 STREET,BK,3
75A COOPER STREET,MN,6
440 WEST 238 STREET,BX,8
145 14TH STREET,BK,4
149 14TH STREET,BK,3
722 CARROLL STREET,BK,4
151 PROSPECT AVENUE,BK,3
137 PROSPECT AVENUE,BK,9
135 PROSPECT AVENUE,BK,9
183A 13 STREET,BK,7
1825 PALMETTO STREET,QN,7
1255 DECATUR STREET,BK,8
1814 GATES AVENUE,QN,7
221 TROUTMAN STREET,BK,6
69 MENAHAN STREET,BK,4
24 STARR STREET,BK,8
146 JEFFERSON STREET,BK,8
182 JEFFERSON STREET,BK,8
102 CENTRAL AVENUE,BK,8
148 JEFFERSON STREET,BK,8
195 TROUTMAN STREET,BK,6
26 STARR STREET,BK,8
1105 WILLOUGHBY AVENUE,BK,3
99 GROVE STREET,BK,8
99 TROUTMAN STREET,BK,8
105 TROUTMAN STREET,BK,8
1351 DEKALB AVENUE,BK,27
1355 DEKALB AVENUE,BK,27
111 TROUTMAN STREET,BK,8
127 TROUTMAN STREET,BK,8
1003 WILLOUGHBY AVE,BK,7
1238 HANCOCK STREET,BK,6
1522 48TH STREET,BK,4
1524 49 STREET,BK,3
1606 52 STREET,BK,3
373 BALTIC STREET,BK,4
1520 BRUCKNER BOULEVARD,BX,8
141 WOODBINE STREET,BK,8
93 DOUGLASS STREET,BK,4
75 SUYDAM STREET,BK,4
378 HARMAN STREET,BK,8
186 16 STREET,BK,3
243 16 STREET,BK,8
241 16TH STREET,BK,6
245 16 STREET,BK,6
2311 MORRIS AVENUE,BX,16
 HOFFMAN STREET,BX,3
794 LEXINGTON AVENUE,MN,4
3A EAST 129 STREET,MN,3
161-50 71 AVENUE,QN,3
161-14 71 AVENUE,QN,3
172 AVENUE B,MN,7
177 AVENUE B,MN,10
609 EAST 11 STREET,MN,12
159-15 72 AVENUE,QN,8
51-38 GOLDSMITH STREET,QN,3
49 EAST 129 STREET,MN,12
31 BRIGHTON 2 PLACE,BK,4
2953 BRIGHTON 1 STREET,BK,3
129 WEST END AVENUE,BK,8
57-14A GRANGER STREET,QN,6
101-10 MARTENSE AVENUE,QN,4
55-07 102 STREET,QN,4
98-17 50 AVENUE,QN,3
98-15 50 AVENUE,QN,3
2011 AVENUE X,BK,10
30 31 STREET,QN,17
30-57 CRESCENT STREET,QN,10
29-13 31 AVENUE,QN,7
30-88 30 STREET,QN,3
2874 BRIGHTON 3 STREET,BK,6
84 CONGRESS STREET,BK,4
149 WEST 9 STREET,BK,6
436 VAN BRUNT STREET,BK,3
2370 62 STREET,BK,4
32-80 30 STREET,QN,8
702 BEACH AVENUE,BX,8
3823 CARPENTER AVENUE,BX,13
5024 10 AVENUE,BK,8
5104 10TH AVENUE,BK,4
984 52 STREET,BK,6
57-29 VAN HORN STREET,QN,3
674 EAST 226 STREET,BX,10
668 EAST 226 STREET,BX,10
 HOFFMAN STREET,BX,3
2438 BARKER AVENUE,BX,9
2436 BARKER AVENUE,BX,7
745 EAST 217 STREET,BX,7
743 EAST 217 STREET,BX,7
90 NAGLE AVENUE,MN,5
1817 TOPPING AVENUE,BX,13
225 EAST 58 STREET,MN,10
351 EAST 54 STREET,MN,12
635 EAST 229 STREET,BX,8
11-14 MAIN AVENUE,QN,3
360 EAST 184 STREET,BX,12
2536 GRAND AVENUE,BX,7
3160 ALBANY CRESCENT,BX,6
3827 CARPENTER AVENUE,BX,15
2375 LORILLARD PLACE,BX,7
2381 LORILLARD PLACE,BX,7
2383 LORILLARD PLACE,BX,7
805 9TH AVENUE,MN,5
242 WEST 56 STREET,MN,6
266 3 AVENUE,MN,7
178 7 AVENUE,MN,12
32-75 31 STREET,QN,5
32-71 31 STREET,QN,5
117 EDGECOMBE AVENUE,MN,6
30-05 23 STREET,QN,4
30-17 23 STREET,QN,6
22-09 ASTORIA BOULEVARD,QN,9
31-41 29TH STREET,QN,10
25-65 36 STREET,QN,8
28-42 38 STREET,QN,8
28-25 35 STREET,QN,8
30-16 37 STREET,QN,8
71-16 66 DRIVE,QN,4
26-26 18 STREET,QN,7
26-28 18 STREET,QN,7
25-72 31 STREET,QN,6
30-34 31 STREET,QN,8
27-17 CRESCENT STREET,QN,10
400 LINDEN STREET,BK,6
411 99 STREET,BK,4
598 EAST 167 STREET,BX,8
181 YORK STREET,BK,10
26 CLINTON STREET,MN,8
100 STARR STREET,BK,8
300 EAST 3 STREET,MN,12
245 SUYDAM STREET,BK,8
773 HART STREET,BK,8
52 SACKMAN STREET,BK,8
735 LIBERTY AVENUE,BK,10
731 LIBERTY AVENUE,BK,10
729 LIBERTY AVENUE,BK,10
737 LIBERTY AVENUE,BK,10
42-18 74 STREET,QN,3
309 VAN SICLEN AVENUE,BK,8
41-13 69 STREET,QN,3
543 BROOKLYN AVENUE,BK,5
653 MAPLE STREET,BK,3
1526 WHITE PLAINS ROAD,BX,8
3839 BRONXWOOD AVENUE,BX,6
1437 DORIS STREET,BX,5
61-42 GRAND AVENUE,QN,7
66-04 WOODSIDE AVENUE,QN,4
41-39 70 STREET,QN,4
838 QUINCY STREET,BK,7
467 TOMPKINS AVENUE,BK,7
147 STANHOPE STREET,BK,8
746 LAFAYETTE AVENUE,BK,4
594 MARCY AVENUE,BK,10
329 KOSCIUSZKO STREET,BK,8
238 PULASKI STREET,BK,12
860 DEKALB AVENUE,BK,5
331 KOSCIUSZKO STREET,BK,8
322 GROVE STREET,BK,6
373 PALMETTO STREET,BK,8
368 GATES AVENUE,BK,4
179 MONROE STREET,BK,8
187 PULASKI STREET,BK,4
111 VAN BUREN STREET,BK,7
415 GATES AVENUE,BK,8
241A MADISON STREET,BK,3
223 PULASKI STREET,BK,8
682 WILLOUGHBY AVENUE,BK,7
410 NOSTRAND AVENUE,BK,8
178 MONROE STREET,BK,3
1335 NEW YORK AVENUE,BK,9
215 PARKVILLE AVENUE,BK,12
92 HART STREET,BK,8
90 HART STREET,BK,8
815 OCEAN PARKWAY,BK,3
727 DEKALB AVENUE,BK,10
737 DEKALB AVENUE,BK,8
55 STANHOPE STREET,BK,8
63 STANHOPE STREET,BK,4
778 MARCY AVENUE,BK,6
168 EVERGREEN AVE,BK,8
621 BUSHWICK AVENUE,BK,8
48 JEFFERSON STREET,BK,8
183 TOMPKINS AVENUE,BK,10
119 PULASKI STREET,BK,3
6 STANHOPE STREET,BK,8
69 MALCOLM X BOULEVARD,BK,8
259 KOSCIUSZKO STREET,BK,4
244 KOSCIUSZKO STREET,BK,4
581 LAFAYETTE AVENUE,BK,3
273 NOSTRAND AVENUE,BK,7
277 NOSTRAND AVENUE,BK,7
568 LAFAYETTE AVENUE,BK,10
557 LAFAYETTE AVENUE,BK,6
273 CLIFTON PLACE,BK,8
726 MONROE STREET,BK,7
650 KOSCIUSZKO STREET,BK,4
90-18 50TH AVENUE,QN,3
90-20 50TH AVENUE,QN,3
85-21 57 AVENUE,QN,3
90-48 54 AVENUE,QN,3
90-19 48 AVENUE,QN,3
90-09 CORONA AVENUE,QN,4
90-11 CORONA AVENUE,QN,4
47-19 90 STREET,QN,5
90-07 CORONA AVENUE,QN,4
47-21 90 STREET,QN,4
52-14 VAN LOON STREET,QN,7
88-29 53 AVENUE,QN,7
88-27 53RD AVENUE,QN,7
87-36 52 AVENUE,QN,8
90-08 51 AVENUE,QN,8
88-17 51 AVENUE,QN,7
897 BROADWAY,BK,8
771 LEXINGTON AVENUE,BK,8
773 LEXINGTON AVENUE,BK,8
22 MELROSE STREET,BK,8
28 MELROSE STREET,BK,6
46 MELROSE STREET,BK,8
 JEFFERSON STREET,BK,6
18 JEFFERSON STREET,BK,4
41 MELROSE STREET,BK,7
753 ELTON AVENUE,BX,8
40 WEST 126 STREET,MN,8
83 STARR STREET,BK,8
1103 WILLOUGHBY AVENUE,BK,3
2797 3 AVENUE,BX,6
77 WEST 128 STREET,MN,3
416 LENOX AVENUE,MN,12
108 WEST 128 STREET,MN,3
3B EAST 129 STREET,MN,3
51-09 VAN LOON STREET,QN,3
540 EAST 142 STREET,BX,8
2570 ADAM C POWELL BLVD,MN,9
192 ELIZABETH STREET,MN,9
28 STARR STREET,BK,8
1099 WILLOUGHBY AVENUE,BK,3
 DE KALB AVENUE,QN,5
348 MELROSE STREET,BK,4
326 MELROSE STREET,BK,8
28-04 21 STREET,QN,9
29-15 31 AVENUE,QN,7
363 EAST 145 STREET,BX,8
27-34 27 STREET,QN,7
30-84 29 STREET,QN,8
30-89 31 STREET,QN,6
396 SHEPHERD AVENUE,BK,7
296 STOCKHOLM STREET,BK,8
306 STOCKHOLM STREET,BK,8
1220 PUTNAM AVENUE,BK,7
1211 PUTNAM AVENUE,BK,6
1209 PUTNAM AVENUE,BK,6
153-11 90 AVENUE,QN,10
1140 BUSHWICK AVENUE,BK,8
41-16 HAIGHT STREET,QN,3
41-14 HAIGHT STREET,QN,6
41-19 HAIGHT STREET,QN,4
41-13 HAIGHT STREET,QN,4
41-17 HAIGHT STREET,QN,4
41-15 HAIGHT STREET,QN,4
41-18 HAIGHT STREET,QN,6
41-27 HAIGHT STREET,QN,4
42-01 COLLEGE POINT BLVD,QN,4
42-03 COLLEGE POINT BLVD,QN,4
41-37 COLLEGE POINT BLVD,QN,3
41-33 COLLEGE POINT BLVD,QN,3
131-48 40 ROAD,QN,3
527 FLUSHING AVENUE,BK,6
1214 GREENE AVENUE,BK,10
1285 GREENE AVENUE,BK,5
237 BUFFALO AVENUE,BK,6
18A BLEECKER STREET,BK,8
137 ELDERT STREET,BK,4
41-11 HAIGHT STREET,QN,4
132-53 POPLE AVENUE,QN,8
132-47 AVERY AVENUE,QN,7
43-24 ROBINSON STREET,QN,12
132-52 41 AVENUE,QN,5
1413 ST MARKS AVENUE,BK,3
43-49 BYRD STREET,QN,4
41-12 69 STREET,QN,3
41-15 69 STREET,QN,3
41-44 68 STREET,QN,4
40-36 74 STREET,QN,4
40-34 74 STREET,QN,4
40-29 72 STREET,QN,3
40-11 68 STREET,QN,4
40-09 68 STREET,QN,3
52-10 ROOSEVELT AVENUE,QN,6
41-37 70 STREET,QN,4
45-04 111 STREET,QN,7
45-12 111 STREET,QN,7
45-10 111 STREET,QN,7
65-24 38 AVENUE,QN,7
65-27 ROOSEVELT AVENUE,QN,9
86-05 BRITTON AVENUE,QN,10
52-08 ROOSEVELT AVENUE,QN,6
102-58 43 AVENUE,QN,4
43-12 104 STREET,QN,7
73 PINEAPPLE STREET,BK,9
319 BROADWAY,BK,10
424 LAFAYETTE AVENUE,BK,6
54-23 102 STREET,QN,5
102-10 LEWIS AVENUE,QN,3
142-37 38 AVENUE,QN,8
140-32 34 AVENUE,QN,3
32-28 137 STREET,QN,8
32-30 137 STREET,QN,8
31-15 137 STREET,QN,7
136-10 31 ROAD,QN,3
32-13 LINDEN PLACE,QN,8
31-13 137 STREET,QN,6
32-15 LINDEN PLACE,QN,8
32-22 137 STREET,QN,8
33-17 LEAVITT STREET,QN,4
31-34 137 STREET,QN,10
31-32 137 STREET,QN,8
31-35 LINDEN PLACE,QN,8
133-12 AVERY AVENUE,QN,10
140-20 CHERRY AVE,QN,12
141-06 CHERRY AVENUE,QN,8
43-12 UNION STREET,QN,10
43-07 UNION STREET,QN,6
141-04 CHERRY AVENUE,QN,8
141-02 CHERRY AVENUE,QN,6
141-08 CHERRY AVENUE,QN,8
49 EAST 117 STREET,MN,3
58 EAST 118 STREET,MN,3
20 EAST 118 STREET,MN,3
2 EAST 118 STREET,MN,3
1441A 5 AVENUE,MN,3
19 EAST 117 STREET,MN,3
3 EAST 117 STREET,MN,3
1798 MADISON AVENUE,MN,3
450 EAST 117 STREET,MN,9
14-05 31 AVENUE,QN,6
30-26 14 STREET,QN,7
25-22 14 PLACE,QN,6
332 EAST 120 STREET,MN,3
330 EAST 120 STREET,MN,3
416 EAST 120 STREET,MN,12
414 EAST 120 STREET,MN,12
25-58 38 STREET,QN,8
166 EAST 117 STREET,MN,5
11-28 31 DRIVE,QN,9
423 EAST 117 STREET,MN,8
205 JAVA STREET,BK,6
326 EAST 119 STREET,MN,3
14-40 31ST AVENUE,QN,6
31-13 23 STREET,QN,8
21-29 31 AVENUE,QN,8
125 PARK AVENUE,BK,8
3529 EASTCHESTER ROAD,BX,4
14-31 28 AVENUE,QN,7
29-11 12 STREET,QN,9
153 EAST 103 STREET,MN,8
12-07 31 AVENUE,QN,7
305 COOPER STREET,BK,7
338 ELDERT STREET,BK,8
340 ELDERT STREET,BK,8
25-23 36 STREET,QN,7
25-15 36 STREET,QN,7
25-40A 37 STREET,QN,5
25-63 38 STREET,QN,6
150 FORSYTH STREET,MN,9
17 STANTON STREET,MN,7
5415 9TH AVENUE,BK,7
42-41 JUDGE STREET,QN,10
42-39 JUDGE STREET,QN,10
28-27 35 STREET,QN,8
28-34 38 STREET,QN,8
30-86 36 STREET,QN,8
28-25 36 STREET,QN,8
30-59 CRESCENT STREET,QN,8
171 WEST 161 STREET,BX,4
939 SUMMIT AVENUE,BX,8
931 SUMMIT AVENUE,BX,8
163 WEST 161 STREET,BX,4
165 WEST 161 STREET,BX,4
790 BEDFORD AVENUE,BK,5
52 SKILLMAN STREET,BK,6
23-20 BROADWAY,QN,6
23-22 BROADWAY,QN,5
23-20A BROADWAY,QN,5
23-24 BROADWAY,QN,9
1148 WASHINGTON AVENUE,BX,8
25-69 38 STREET,QN,7
25-80 38 STREET,QN,8
1232 FULTON AVENUE,BX,8
203 EAST 7 STREET,MN,4
64 EAST 1 STREET,MN,6
379 EAST 10 STREET,MN,13
1188 SHERMAN AVENUE,BX,3
1186 SHERMAN AVENUE,BX,3
645 EAST 9 STREET,MN,10
533 WEST 147 STREET,MN,3
1120 NELSON AVENUE,BX,15
1172 SHERMAN AVENUE,BX,3
1178 SHERMAN AVENUE,BX,3
1164 SHERMAN AVENUE,BX,3
1182 SHERMAN AVENUE,BX,3
1174 SHERMAN AVENUE,BX,4
1170 SHERMAN AVENUE,BX,3
1166 SHERMAN AVENUE,BX,3
1176 SHERMAN AVENUE,BX,3
1184 SHERMAN AVENUE,BX,3
1180 SHERMAN AVENUE,BX,3
1168 SHERMAN AVENUE,BX,3
237A NORTH HENRY STREET,BK,4
197 RUSSELL STREET,BK,3
1072 UNIVERSITY AVENUE,BX,10
10-54 47 AVENUE,QN,3
21-20 45 RD,QN,6
4-95 48 AVENUE,QN,8
4-89 48 AVENUE,QN,4
83 EAGLE STREET,BK,4
1525 PLIMPTON AVENUE,BX,3
3331 HULL AVENUE,BX,8
1309 OVINGTON AVENUE,BK,4
150 NEWEL STREET,BK,6
636 LEONARD STREET,BK,8
548 LEONARD ST,BK,7
23-07 30 DRIVE,QN,8
2523 BARNES AVENUE,BX,7
2548A WHITE PLAINS ROAD,BX,6
42 GROVE STREET,BK,7
41 GOODWIN PLACE,BK,8
47A LYNCH STREET,BK,3
226 LEE AVENUE,BK,4
78 BARTLETT STREET,BK,3
834 QUINCY STREET,BK,7
803 QUINCY STREET,BK,8
70 THROOP AVENUE,BK,3
235 LEE AVENUE,BK,5
50 MIDDLETON STREET,BK,4
56 MIDDLETON STREET,BK,4
38-14 114 STREET,QN,8
134-20 MAPLE AVENUE,QN,3
134-24 MAPLE AVENUE,QN,3
134-24A MAPLE AVENUE,QN,3
328 CENTRAL AVENUE,BK,8
51 CEDAR STREET,BK,8
49 CEDAR STREET,BK,8
1257 DEKALB AVENUE,BK,4
183 COVERT STREET,BK,8
42-06 114 STREET,QN,8
49-08 111 STREET,QN,7
81 STANHOPE STREET,BK,8
83 STOCKHOLM STREET,BK,8
79 STANHOPE STREET,BK,8
69 STOCKHOLM STREET,BK,8
1160 GREENE AVENUE,BK,7
41-35 149 STREET,QN,3
1145 GREENE AVENUE,BK,8
1301 GATES AVENUE,BK,4
42-07 COLLEGE POINT BLVD,QN,4
132-34 41 AVENUE,QN,7
132-15 SANFORD AVENUE,QN,5
1471 BUSHWICK AVENUE,BK,8
110-40 CORONA AVENUE,QN,4
110-42 CORONA AVENUE,QN,4
143-19C 38 AVENUE,QN,4
143-21B 38 AVENUE,QN,4
143-19B 38 AVENUE,QN,4
133-60 41 AVENUE,QN,4
110-34 55 AVENUE,QN,7
56-14 VAN CLEEF STREET,QN,7
143-19A 38 AVENUE,QN,5
